machine_identifier,start_ts,end_ts,duration_in_s,identifier,station,station_instance,subsystem_instance,code
innovative_cheese_machine,2022-05-08T10:10:30.691Z,2022-05-08T10:10:57.784Z,27.093,319.0.757.0.1950.0.5.0,319,0,0,1950
innovative_cheese_machine,2022-05-09T04:47:10.615Z,2022-05-09T04:51:15.660Z,245.045,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-09T04:51:30.216Z,2022-05-09T04:51:42.852Z,12.636,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-09T04:51:57.409Z,2022-05-09T04:52:07.964Z,10.555,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-09T04:52:22.520Z,2022-05-09T04:53:00.128Z,37.608,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-09T04:53:14.685Z,2022-05-09T05:07:03.470Z,828.785,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-09T05:07:18.290Z,2022-05-09T05:07:49.833Z,31.543,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-09T05:08:04.389Z,2022-05-09T05:10:04.222Z,119.833,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-09T05:10:18.778Z,2022-05-09T05:11:18.415Z,59.637,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-09T05:25:44.727Z,2022-05-09T05:27:30.452Z,105.725,319.0.757.0.1950.0.5.0,319,0,0,1950
innovative_cheese_machine,2022-05-09T05:44:09.669Z,2022-05-09T06:01:54.639Z,1064.97,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-09T06:13:30.171Z,2022-05-09T06:13:41.515Z,11.344,318.2.266.0.1331.4.1.0,318,2,0,1331
innovative_cheese_machine,2022-05-09T06:25:31.569Z,2022-05-09T06:25:31.633Z,0.064,318.1.768.0.1427.0.0.0,318,1,0,1427
innovative_cheese_machine,2022-05-09T06:30:16.271Z,2022-05-09T06:30:36.670Z,20.399,20.0.345.0.1562.0.0.0,20,0,0,1562
innovative_cheese_machine,2022-05-09T06:59:17.515Z,2022-05-09T07:01:18.976Z,121.461,319.0.757.0.1950.0.5.0,319,0,0,1950
innovative_cheese_machine,2022-05-09T07:01:24.156Z,2022-05-09T07:01:42.740Z,18.584,20.0.116.1.1181.0.1.0,20,0,1,1181
innovative_cheese_machine,2022-05-09T07:01:42.764Z,2022-05-09T07:02:14.304Z,31.54,20.0.116.1.1181.0.1.0,20,0,1,1181
innovative_cheese_machine,2022-05-09T07:02:37.764Z,2022-05-09T07:02:49.400Z,11.636,20.0.116.1.1181.0.1.0,20,0,1,1181
innovative_cheese_machine,2022-05-09T07:04:13.117Z,2022-05-09T07:05:44.829Z,91.712,20.0.116.1.1181.0.1.0,20,0,1,1181
innovative_cheese_machine,2022-05-09T07:05:44.853Z,2022-05-09T07:05:54.269Z,9.416,20.0.116.1.1181.0.1.0,20,0,1,1181
innovative_cheese_machine,2022-05-09T07:19:45.472Z,2022-05-09T07:21:14.108Z,88.636,92.0.0.0.2030.0.82.0,92,0,0,2030
innovative_cheese_machine,2022-05-09T09:40:52.459Z,2022-05-09T09:40:52.483Z,0.024,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-09T09:48:16.839Z,2022-05-09T09:49:00.123Z,43.284,903.0.931.0.1095.0.1002.0,903,0,0,1095
innovative_cheese_machine,2022-05-09T10:36:50.289Z,2022-05-09T10:40:53.187Z,242.898,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-05-09T10:56:23.431Z,2022-05-09T10:57:02.864Z,39.433,8.0.108.1.1176.0.1.0,8,0,1,1176
innovative_cheese_machine,2022-05-09T12:49:21.868Z,2022-05-09T13:01:15.345Z,713.477,41.1.926.2.1152.0.1.0,41,1,2,1152
innovative_cheese_machine,2022-05-09T13:41:07.267Z,2022-05-09T13:42:32.119Z,84.852,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-09T13:56:27.610Z,2022-05-09T13:57:44.708Z,77.098,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-09T14:12:48.339Z,2022-05-09T14:13:40.636Z,52.297,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-09T14:36:53.837Z,2022-05-09T14:36:53.837Z,0.0,80.0.129.0.1013.0.1.0,80,0,0,1013
innovative_cheese_machine,2022-05-09T14:38:50.838Z,2022-05-09T14:38:50.838Z,0.0,80.0.129.0.1013.0.1.0,80,0,0,1013
innovative_cheese_machine,2022-05-09T16:27:21.705Z,2022-05-09T16:27:54.725Z,33.02,1.0.130.1.1010.0.1.0,1,0,1,1010
innovative_cheese_machine,2022-05-09T16:29:33.583Z,2022-05-09T16:30:50.883Z,77.3,91.0.122.0.1019.0.1.0,91,0,0,1019
innovative_cheese_machine,2022-05-09T17:23:35.253Z,2022-05-09T17:23:35.278Z,0.025,92.0.122.0.1019.0.1.0,92,0,0,1019
